Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,VARX_R2_OOS,VARX_CW_stat,VARX_CW_p,VARX_DM_stat,VARX_DM_p,VARX_RMSE,VARX_MAE,VARX_Cor,VARX_HitRate,AR_R2_OOS,AR_RMSE,AR_CW_p
CapacityUtilization_diff3_lag2,1998-05-01,2021-04-01,276,-0.017386530197727623,,,-2.3192230992074148,0.021115813560078873,0.00423964986019385,0.0032716049767060515,-0.16350086894749893,0.45652173913043476,-0.0013025764634917447,0.0042060038522453835,
CoreCPI_pct1_diff1_lag1,1998-05-01,2026-04-01,336,0.022608595414285726,3.546826287768077,0.00022272929133812532,2.487395176310918,0.013354260601824893,0.004475958953089974,0.003465348491693342,0.1475884945460598,0.5714285714285714,0.0047833065138935815,0.004516589946814861,0.026149267041239405
GBP_pct1,2000-03-01,2026-04-01,314,-0.0005142478850741483,,,-0.09836942501705805,0.9217019175507507,0.004536529212255847,0.0034704937325300915,-0.011919776886239087,0.4872611464968153,0.006017387511421446,0.004521697103106891,0.016118103588337367
RiskFreeRate_diff1,2007-03-01,2026-04-01,230,-0.0014115303931570011,,,-0.13503039417912424,0.8927064536930458,0.004651103994455642,0.0035846370278820403,0.00788772289476422,0.46956521739130436,0.008850143730514959,0.004627212211428637,0.01964649130574822
Housing_pct3_lag3,1998-05-01,2026-04-01,309,0.005423738404907952,1.3802753203509899,0.08425142545701697,0.3404272520360461,0.7337668672335234,0.0043620567202290045,0.003396377832532794,0.06818203554528354,0.56957928802589,0.0036851619144161463,0.004365867618515077,0.06028015814944544
M2MoneySupply_pct1_lag1,1998-05-01,2026-04-01,336,0.005878905468373552,1.742074955705254,0.04120655248652546,0.8687589441811366,0.3856009582383291,0.004514103184947867,0.003476639233894299,0.05129423614883342,0.5148809523809523,0.0047833065138935815,0.004516589946814861,0.026149267041239405
Payroll_pct1_lag2,1998-05-01,2026-04-01,336,0.0015966205682809154,0.943269468276008,0.1731114257526522,0.3319949808098823,0.7401006668468288,0.0045238152328465064,0.0034704606073798997,0.008338713713979939,0.5267857142857143,0.0047833065138935815,0.004516589946814861,0.026149267041239405
T10Y3M_diff1,1998-05-01,2017-07-01,231,-0.007824137648565044,,,-0.8123875773637899,0.41740931646111123,0.0042757997122620526,0.0033169242101420684,-0.03403212644158419,0.48484848484848486,-0.0012288757585430243,0.0042617862028263565,
TradeSales_pct1_lag2,1998-05-01,2026-04-01,336,-0.0013086738202916504,,,-0.256666659855358,0.7975936674962584,0.004530392467970072,0.0034778631848759005,-0.028171922691808952,0.5238095238095238,0.0047833065138935815,0.004516589946814861,0.026149267041239405
Unemployment_diff1_lag2,1998-05-01,2026-04-01,336,0.0010844860553558267,0.8035781447238965,0.2111052294318369,0.2710528324928609,0.7865173354588652,0.0045249753375355625,0.003474123390998964,-0.006030677321756298,0.5148809523809523,0.0047833065138935815,0.004516589946814861,0.026149267041239405
Yield10Y_diff1,1998-05-01,2026-04-01,336,0.0015537670062460984,0.7906561443392112,0.21485201986915936,0.13535295198646474,0.8924141119799762,0.004523912317612302,0.0034880317721454816,0.030600409233980254,0.49702380952380953,0.0047833065138935815,0.004516589946814861,0.026149267041239405
