Predictor,Beta,Beta_t
CPI_pct1_lag1,-2.5666596502157823e-05,-0.18178870194005323
CapacityUtilization_diff1_lag1,0.000124301311875462,0.6847881456106132
CoreCPI_pct1_lag1,-7.318518729335509e-05,-0.5156074040821166
DXY_Datastream_pct1,0.0002112563301583567,1.726704668709462
FedFundsRate_diff1,-0.0003855186395221031,-2.931314866233994
Housing_pct1_lag1,-0.00010396514169874257,-0.8305512075872252
M2MoneySupply_pct1_lag1,3.163895155125465e-05,0.2342732724017132
Payroll_pct1_lag1,-0.0004084012793496166,-1.0169975946837322
T10Y3M_diff1,-0.00021115392756345598,-1.6369449895352417
TradeSales_pct1_lag2,1.5262803124904316e-05,0.12156693675476474
Unemployment_diff1_lag1,-0.00036894171287485183,-0.9636100092064989
